Dates;USGG2YR Index;ES1 Index;SX5E Index;DG FP Equity;;TTE FP Equity;;AI FP Equity;;EL FP Equity;;AIR FP Equity;;CS FP Equity;;CAP FP Equity;;SGO FP Equity;;HENKEL HB Equity;;ML FP Equity;;MC FP Equity;;ORA FP Equity;;SU FP Equity;;SAN FP Equity;;PUB FP Equity;;TE FP Equity;;NESN SW Equity;;GE US Equity;;AAPL US Equity;
Dates;PX_LAST;PX_LAST;PX_LAST;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D;PX_LAST;PUT_IMP_VOL_30D
01/03/2022;1.3407;4303.75;3765.85;81.7309;39.611;37.2945;39.25;115.9002;29.786;141.8181;44.202;99.5328;53.53;19.3102;40.895;173.5037;39.22;49.849;49.912;24317.203;#N/A N/A;26.4317;38.937;593.67;41.989;8.8327;24.763;125.4855;39.255;81.8469;31.016;51.1814;37.271;8.147;66.299;111.1307;19.904;56.6688;44.665;160.598;32.524
02/03/2022;1.512;4381.75;3820.59;83.1514;36.121;40.3428;38.802;116.5739;28.729;142.4812;43.044;104.7874;51.591;19.3892;40.531;175.4051;38.445;48.9645;50.265;23248.719;#N/A N/A;26.4428;38.24;605.24;39.516;8.8425;24.379;129.8458;37.404;81.3663;30.398;49.6854;39.127;8.056;65.213;110.7616;19.862;57.792;38.723;163.904;29.115
03/03/2022;1.53;4359.25;3741.78;81.9453;36.788;38.8292;41.307;115.5556;29.451;140.0181;44.538;100.3353;56.328;19.5263;40.62;174.8347;38.294;48.5177;50.842;22811.194;#N/A N/A;26.0212;39.638;585.7;41.368;8.7754;24.311;128.4112;38.442;80.2094;31.766;46.359;44.005;9.154;64.355;108.9531;22.049;56.7425;40.388;163.58;29.405
04/03/2022;1.4759;4327.25;3556.01;77.0404;44.29;37.4206;46.856;112.2029;34.523;135.1866;49.028;92.7686;68.608;18.4997;48.622;162.8082;47.883;45.7914;61.679;22295.375;#N/A N/A;24.157;51.449;548.13;49.276;8.5364;29.546;122.3333;47.393;78.1448;36.245;44.4405;50.931;8.458;70.369;106.9416;25.936;54.7109;45.409;160.569;32.419
07/03/2022;1.5503;4198.5;3512.22;73.3059;48.904;37.7486;48.351;110.5893;35.748;134.0309;47.602;89.7973;70.242;18.4706;51.322;162.2853;45.675;44.4784;64.15;22843.433;#N/A N/A;23.3025;53.013;538.65;48.294;8.4071;32.167;123.2959;46.503;78.9813;38.281;43.4901;56.705;8.55;69.58;104.5426;29.309;52.4502;48.009;156.76;36.973
08/03/2022;1.5987;4168.75;3505.29;75.459;46.697;38.4592;47.75;107.8007;35.4;135.6793;44.642;89.9311;67.633;18.7574;49.341;158.3399;46.81;46.0102;60.414;22843.433;#N/A N/A;23.2138;50.639;521.85;48.838;8.4038;32.064;126.5048;43.882;81.6778;37.851;44.0005;54.764;8.733;68.655;101.8298;30.1;54.1519;46.189;154.93;36.502
09/03/2022;1.6798;4275.25;3766.02;81.0608;42.389;38.8712;43.271;114.3492;33.401;147.5211;43.358;98.5391;60.929;20.2329;43.569;170.5089;43.926;50.0861;55.601;22843.433;#N/A N/A;25.4885;46.174;571.66;44.053;8.5741;29.512;137.094;41.833;83.9115;35.537;47.5206;48.272;9.273;60.558;106.3142;26.707;56.0562;42.552;160.352;31.897
10/03/2022;1.6963;4257.25;3651.39;78.4877;45.251;38.4297;43.29;111.2003;37.052;140.0939;50.237;95.3386;63.241;19.6469;45.888;166.1357;46.772;49.1195;55.652;22843.433;#N/A N/A;24.8449;47.126;557.71;46.479;8.6232;28.741;131.6012;44.872;82.8703;36.574;47.3798;47.193;9.086;61.464;104.7271;25.717;56.1054;40.776;155.993;33.075
11/03/2022;1.748;4201.5;3686.78;79.0327;44.935;38.3372;40.483;112.6103;35.083;144.1296;45.353;98.9404;58.879;20.0334;42.756;166.3734;44.142;49.8763;52.327;22608.551;#N/A N/A;25.0336;44.442;564.35;44.364;8.5872;27.332;133.4699;43.037;83.3153;35.412;48.6998;44.905;8.953;59.555;104.2473;23.832;56.689;40.44;152.263;35.146
14/03/2022;1.8609;4172;3741.1;81.722;43.306;38.4718;29.138;115.8219;34.065;150.1358;43.875;99.8958;57.316;20.6776;42.015;169.5107;42.446;50.8155;51.985;22608.551;#N/A N/A;25.6661;45.756;567.96;44.108;8.6739;27.766;137.6981;43.001;82.7279;33.098;48.2246;46.814;8.843;62.339;105.8713;23.698;56.7934;40.676;148.219;38.621
15/03/2022;1.8491;4262;3738.11;81.5879;43.586;38.476;38.686;115.9629;34.7;147.6727;44.933;98.52;60.12;20.8356;41.777;170.604;41.181;50.3505;52.994;22608.551;#N/A N/A;26.121;45.479;559.71;47.519;8.7328;26.067;138.1511;43.31;83.6357;32.288;48.823;46.389;8.977;61.244;106.794;22.953;56.732;39.397;152.617;34.427
16/03/2022;1.9379;4358;3889.69;83.214;37.453;38.2952;35.51;118.2815;30.279;154.1715;37.606;102.055;53.759;21.247;36.412;178.6375;36.557;53.0768;44.043;22608.551;#N/A N/A;27.2418;38.894;596.61;40.701;8.6674;25.017;144.8897;36.832;83.7158;29.845;51.1286;41.713;9.603;52.39;107.4583;21.396;58.1756;34.815;157.046;29.447
17/03/2022;1.9138;4410.25;3885.32;83.4552;35.1;38.6904;33.406;119.4722;27.747;156.1041;33.545;102.4563;50.519;21.2844;33.281;181.4421;33.62;52.8762;41.796;22101.942;#N/A N/A;27.1308;37.651;597.46;36.214;8.7427;23.5;144.3234;32.869;84.5701;27.598;50.8646;40.207;9.8;48.044;109.7097;18.741;58.6855;33.327;158.059;27.85
